Experiment id: 13C_finetune_commutative_cnn_20260702_151104
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/13C/runs/13C_finetune_commutative_cnn_20260702_151104
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752/10C_pretrain_commutative_cnn_20260701_130752_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/13C/runs/13C_finetune_commutative_cnn_20260702_151104/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
077/120 8.00e-06   4:31:01 |   2.4542   1.0150   0.5878   2.3875   1.9098   1.0376 |   2.6049   1.0154   0.6851   2.9526   2.0563   1.1365
078/120 8.00e-06   4:23:56 |   2.4743   1.0416   0.5829   2.3299   1.9166   1.0354 |   2.6177   1.0260   0.6870   3.1480   2.0636   1.1430
079/120 4.00e-06   4:16:55 |   2.4784   1.0358   0.5841   2.3661   1.9236   1.0350 |   2.6180   1.0192   0.6943   3.1764   2.0670   1.1490
080/120 4.00e-06   4:09:57 |   2.4695   1.0414   0.5852   2.4054   1.9120   1.0345 |   2.6118   1.0153   0.6924   3.1013   2.0629   1.1457
081/120 4.00e-06   4:03:02 |   2.4672   1.0356   0.5846   2.3662   1.9125   1.0341 |   2.5987   1.0112   0.6847   2.9718   2.0522   1.1365
082/120 4.00e-06   3:56:09 |   2.4648   1.0278   0.5837   2.4374   1.9140   1.0333 |   2.6144   1.0172   0.6944   3.1616   2.0644   1.1479
083/120 2.00e-06   3:49:18 |   2.4676   1.0420   0.5830   2.4078   1.9098   1.0326 |   2.6007   1.0121   0.6856   3.0189   2.0537   1.1386
084/120 2.00e-06   3:42:29 |   2.4639   1.0325   0.5811   2.4159   1.9109   1.0299 |   2.5957   1.0119   0.6813   2.9878   2.0489   1.1347
085/120 2.00e-06   3:35:43 |   2.4627   1.0357   0.5820   2.3636   1.9081   1.0336 |   2.5992   1.0114   0.6857   3.0079   2.0525   1.1382
086/120 2.00e-06   3:29:01 |   2.4442   1.0198   0.5810   2.3731   1.8975   1.0329 |   2.6001   1.0123   0.6866   3.0350   2.0529   1.1397
087/120 2.00e-06   3:22:23 |   2.4568   1.0278   0.5805   2.3960   1.9061   1.0302 |   2.6002   1.0113   0.6873   3.0349   2.0534   1.1401
088/120 2.00e-06   3:15:46 |   2.4543   1.0287   0.5844   2.4036   1.9031   1.0333 |   2.6106   1.0141   0.6956   3.1674   2.0622   1.1490
089/120 1.00e-06   3:09:12 |   2.4576   1.0260   0.5828   2.4817   1.9078   1.0329 |   2.5973   1.0108   0.6855   3.0143   2.0508   1.1385
090/120 1.00e-06   3:02:39 |   2.4467   1.0261   0.5801   2.4021   1.8969   1.0311 |   2.5994   1.0109   0.6882   3.0590   2.0529   1.1410
091/120 1.00e-06   2:56:10 |   2.4485   1.0192   0.5850   2.4342   1.9021   1.0335 |   2.6006   1.0109   0.6898   3.0723   2.0540   1.1426
092/120 1.00e-06   2:49:43 |   2.4484   1.0261   0.5827   2.4004   1.8986   1.0331 |   2.6003   1.0114   0.6892   3.0740   2.0534   1.1425
093/120 1.00e-06   2:43:20 |   2.4593   1.0294   0.5815   2.4065   1.9079   1.0303 |   2.5975   1.0104   0.6872   3.0381   2.0512   1.1404
094/120 1.00e-06   2:36:57 |   2.4417   1.0212   0.5810   2.3863   1.8944   1.0298 |   2.5939   1.0098   0.6843   2.9973   2.0480   1.1374
095/120 1.00e-06   2:30:35 |   2.4626   1.0317   0.5819   2.3782   1.9100   1.0301 |   2.6004   1.0122   0.6888   3.0804   2.0531   1.1428
096/120 1.00e-06   2:24:16 |   2.4435   1.0197   0.5804   2.4489   1.8969   1.0304 |   2.5981   1.0109   0.6879   3.0608   2.0515   1.1417
097/120 1.00e-06   2:17:59 |   2.4465   1.0237   0.5804   2.4400   1.8979   1.0313 |   2.5968   1.0109   0.6869   3.0531   2.0503   1.1406
098/120 1.00e-06   2:11:43 |   2.4480   1.0277   0.5803   2.3910   1.8975   1.0297 |   2.5962   1.0097   0.6872   3.0367   2.0503   1.1404
099/120 1.00e-06   2:05:29 |   2.4489   1.0268   0.5816   2.4511   1.8988   1.0311 |   2.5948   1.0097   0.6865   3.0419   2.0489   1.1398
100/120 1.00e-06   1:59:17 |   2.4480   1.0235   0.5825   2.4273   1.8994   1.0328 |   2.5976   1.0099   0.6888   3.0608   2.0515   1.1421
101/120 1.00e-06   1:53:07 |   2.4472   1.0192   0.5827   2.4258   1.9008   1.0308 |   2.5997   1.0109   0.6898   3.0753   2.0531   1.1431
102/120 1.00e-06   1:46:58 |   2.4673   1.0361   0.5798   2.4552   1.9125   1.0313 |   2.5984   1.0105   0.6894   3.0856   2.0520   1.1430
103/120 1.00e-06   1:40:50 |   2.4305   1.0087   0.5823   2.4362   1.8895   1.0294 |   2.5965   1.0097   0.6885   3.0555   2.0505   1.1419
104/120 1.00e-06   1:34:44 |   2.4286   1.0115   0.5808   2.5267   1.8861   1.0284 |   2.5965   1.0100   0.6881   3.0533   2.0504   1.1417
105/120 1.00e-06   1:28:39 |   2.4435   1.0180   0.5788   2.4655   1.8978   1.0269 |   2.5960   1.0099   0.6882   3.0634   2.0499   1.1418
106/120 1.00e-06   1:22:36 |   2.4343   1.0165   0.5814   2.4837   1.8894   1.0280 |   2.5954   1.0096   0.6877   3.0450   2.0495   1.1413
107/120 1.00e-06   1:16:34 |   2.4449   1.0223   0.5805   2.4090   1.8971   1.0274 |   2.5970   1.0096   0.6897   3.0789   2.0510   1.1434
108/120 1.00e-06   1:10:33 |   2.4536   1.0295   0.5809   2.5004   1.9021   1.0300 |   2.5983   1.0094   0.6912   3.0900   2.0524   1.1449
109/120 1.00e-06   1:04:34 |   2.4430   1.0224   0.5813   2.4008   1.8950   1.0325 |   2.5949   1.0086   0.6889   3.0665   2.0495   1.1424
110/120 1.00e-06     58:36 |   2.4391   1.0240   0.5857   2.4194   1.8903   1.0317 |   2.5973   1.0083   0.6915   3.0894   2.0519   1.1448
111/120 1.00e-06     52:39 |   2.4544   1.0283   0.5808   2.4645   1.9036   1.0299 |   2.5961   1.0083   0.6904   3.0747   2.0507   1.1437
112/120 1.00e-06     46:44 |   2.4382   1.0206   0.5805   2.4514   1.8913   1.0270 |   2.5961   1.0089   0.6901   3.0781   2.0504   1.1436
113/120 1.00e-06     40:50 |   2.4469   1.0233   0.5794   2.4659   1.8986   1.0296 |   2.5935   1.0083   0.6882   3.0639   2.0482   1.1420
114/120 1.00e-06     34:56 |   2.4448   1.0266   0.5805   2.4565   1.8949   1.0277 |   2.5932   1.0082   0.6881   3.0619   2.0480   1.1421
115/120 1.00e-06     29:04 |   2.4354   1.0165   0.5826   2.4626   1.8905   1.0296 |   2.5959   1.0088   0.6905   3.0993   2.0502   1.1449
116/120 1.00e-06     23:13 |   2.4348   1.0193   0.5782   2.3996   1.8885   1.0287 |   2.5946   1.0082   0.6897   3.0687   2.0493   1.1433
117/120 1.00e-06     17:24 |   2.4474   1.0250   0.5827   2.4745   1.8981   1.0299 |   2.5972   1.0093   0.6914   3.1043   2.0513   1.1455
118/120 1.00e-06     11:35 |   2.4291   1.0134   0.5810   2.4429   1.8857   1.0306 |   2.5930   1.0088   0.6878   3.0732   2.0475   1.1421
119/120 1.00e-06     05:47 |   2.4262   1.0094   0.5806   2.4704   1.8848   1.0302 |   2.5977   1.0094   0.6922   3.1144   2.0517   1.1461
120/120 1.00e-06     00:00 |   2.4383   1.0136   0.5820   2.4520   1.8948   1.0281 |   2.5905   1.0076   0.6867   3.0381   2.0456   1.1401
select_best epoch=120 best_epoch=116 best_metric=2.0493
13C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/13C/runs/13C_finetune_commutative_cnn_20260702_151104
