Experiment id: 10C_pretrain_commutative_cnn_20260704_141703
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703/10C_pretrain_commutative_cnn_20260704_141703_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
067/140 3.00e-05  12:05:07 |   1.0289   1.0289   0.6599   4.1589   0.2025 |   2.9181   2.9181   1.3032   4.1589   0.2015
068/140 3.00e-05  11:54:52 |   1.0558   1.0558   0.5454   4.1589   0.2015 |   2.8482   2.8482   1.3509   4.1589   0.1990
069/140 3.00e-05  11:44:30 |   0.8723   0.8723   0.7430   4.1589   0.2010 |   2.7421   2.7421   1.4550   4.1589   0.2008
070/140 3.00e-05  11:34:15 |   0.9184   0.9184   0.6636   4.1589   0.2014 |   2.6394   2.6394   1.4923   4.1589   0.2004
071/140 3.00e-05  11:23:54 |   1.0843   1.0843   0.5213   4.1589   0.1981 |   2.5785   2.5785   1.5581   4.1589   0.1972
072/140 3.00e-05  11:13:41 |   0.8331   0.8331   0.8051   4.1589   0.1975 |   2.4507   2.4507   1.6794   4.1589   0.1991
073/140 3.00e-05  11:03:25 |   0.8569   0.8569   0.7941   4.1589   0.1971 |   2.3516   2.3516   1.7851   4.1589   0.1982
074/140 3.00e-05  10:53:16 |   0.6831   0.6831   0.9654   4.1589   0.1977 |   2.2798   2.2798   1.8080   4.1589   0.1986
075/140 3.00e-05  10:42:55 |   0.8356   0.8356   0.7784   4.1589   0.1975 |   2.1939   2.1939   1.9283   4.1589   0.1980
076/140 3.00e-05  10:32:42 |   0.7663   0.7663   0.9069   4.1589   0.1954 |   2.1052   2.1052   2.0243   4.1589   0.1990
077/140 3.00e-05  10:22:25 |   0.6417   0.6417   1.0822   4.1589   0.1966 |   2.0234   2.0234   2.0894   4.1589   0.1975
078/140 3.00e-05  10:12:16 |   0.6706   0.6706   0.9284   4.1589   0.1925 |   1.9563   1.9563   2.1558   4.1589   0.1970
079/140 3.00e-05  10:02:04 |   0.6978   0.6978   0.9540   4.1589   0.1926 |   1.8468   1.8468   2.3013   4.1589   0.1960
080/140 3.00e-05   9:51:58 |   0.6947   0.6947   0.8929   4.1589   0.1884 |   1.7768   1.7768   2.3616   4.1589   0.1955
081/140 3.00e-05   9:41:46 |   0.5439   0.5439   1.2677   4.1589   0.1907 |   1.6970   1.6970   2.4937   4.1589   0.1952
