Experiment id: 10C_pretrain_commutative_cnn_20260703_031245
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245/10C_pretrain_commutative_cnn_20260703_031245_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
093/140 3.00e-05   8:49:12 |   0.4172   0.4172   1.4341   4.1589   0.2461 |   1.3161   1.3161   2.8310   4.1589   0.2587
094/140 3.00e-05   8:37:35 |   0.5996   0.5996   1.0656   4.1589   0.2437 |   1.2455   1.2455   2.9414   4.1589   0.2632
095/140 3.00e-05   8:26:00 |   0.4209   0.4209   1.4348   4.1589   0.2435 |   1.1840   1.1840   3.0258   4.1589   0.2609
096/140 3.00e-05   8:14:26 |   0.5377   0.5377   1.1792   4.1589   0.2418 |   1.1258   1.1258   3.1309   4.1589   0.2624
097/140 3.00e-05   8:02:55 |   0.3848   0.3848   1.4327   4.1589   0.2442 |   1.0550   1.0550   3.2501   4.1589   0.2637
098/140 3.00e-05   7:51:27 |   0.4364   0.4364   1.4195   4.1589   0.2450 |   1.0157   1.0157   3.3233   4.1589   0.2619
099/140 3.00e-05   7:39:59 |   0.3607   0.3607   1.4982   4.1589   0.2425 |   0.9620   0.9620   3.4025   4.1589   0.2621
100/140 3.00e-05   7:28:36 |   0.4525   0.4525   1.4970   4.1589   0.2426 |   0.9364   0.9364   3.4793   4.1589   0.2576
101/140 3.00e-05   7:17:09 |   0.3995   0.3995   1.4167   4.1589   0.2419 |   0.8602   0.8602   3.6353   4.1589   0.2606
102/140 3.00e-05   7:05:46 |   0.4810   0.4810   1.3893   4.1589   0.2428 |   0.7894   0.7894   3.8161   4.1589   0.2599
103/140 3.00e-05   6:54:23 |   0.3302   0.3302   1.5326   4.1589   0.2377 |   0.7478   0.7478   3.9130   4.1589   0.2631
104/140 3.00e-05   6:42:59 |   0.2937   0.2937   1.6057   4.1589   0.2406 |   0.7120   0.7120   3.9809   4.1589   0.2632
105/140 3.00e-05   6:31:33 |   0.3460   0.3460   1.5178   4.1589   0.2384 |   0.6393   0.6393   4.1949   4.1589   0.2648
106/140 3.00e-05   6:20:12 |   0.3274   0.3274   1.5062   4.1589   0.2449 |   0.5901   0.5901   4.3703   4.1589   0.2685
107/140 3.00e-05   6:08:48 |   0.2842   0.2842   1.6353   4.1589   0.2432 |   0.5540   0.5540   4.4577   4.1589   0.2663
108/140 3.00e-05   5:57:27 |   0.4227   0.4227   1.3050   4.1589   0.2387 |   0.5046   0.5046   4.6925   4.1589   0.2672
109/140 3.00e-05   5:46:04 |   0.2809   0.2809   1.6360   4.1589   0.2392 |   0.4702   0.4702   4.8361   4.1589   0.2713
110/140 3.00e-05   5:34:45 |   0.1896   0.1896   2.1324   4.1589   0.2372 |   0.4488   0.4488   4.9044   4.1589   0.2719
111/140 3.00e-05   5:23:24 |   0.2329   0.2329   2.2768   4.1589   0.2464 |   0.5132   0.5132   4.4355   4.1589   0.2576
112/140 3.00e-05   5:12:06 |   0.2805   0.2805   1.9591   4.1589   0.2417 |   0.4481   0.4481   4.7155   4.1589   0.2657
113/140 3.00e-05   5:00:47 |   0.3596   0.3596   1.3201   4.1589   0.2296 |   0.3811   0.3811   5.0788   4.1589   0.2689
114/140 3.00e-05   4:49:31 |   0.1910   0.1910   1.9842   4.1589   0.2394 |   0.3520   0.3520   5.2067   4.1589   0.2693
115/140 3.00e-05   4:38:13 |   0.3236   0.3236   1.6864   4.1589   0.2371 |   0.3199   0.3199   5.3938   4.1589   0.2730
116/140 3.00e-05   4:27:01 |   0.2202   0.2202   2.3365   4.1589   0.2427 |   0.3161   0.3161   5.3233   4.1589   0.2720
117/140 3.00e-05   4:15:46 |   0.2094   0.2094   1.9022   4.1589   0.2378 |   0.2926   0.2926   5.4874   4.1589   0.2712
118/140 3.00e-05   4:04:34 |   0.1790   0.1790   2.2593   4.1589   0.2417 |   0.3002   0.3002   5.3015   4.1589   0.2685
119/140 3.00e-05   3:53:19 |   0.3146   0.3146   2.0312   4.1589   0.2352 |   0.2652   0.2652   5.5469   4.1589   0.2664
120/140 3.00e-05   3:42:05 |   0.2292   0.2292   2.0951   4.1589   0.2370 |   0.2650   0.2650   5.4550   4.1589   0.2640
121/140 3.00e-05   3:30:52 |   0.2055   0.2055   2.3038   4.1589   0.2386 |   0.2479   0.2479   5.6562   4.1589   0.2724
122/140 3.00e-05   3:19:41 |   0.2325   0.2325   2.5173   4.1589   0.2387 |   0.2697   0.2697   5.2969   4.1589   0.2620
123/140 3.00e-05   3:08:29 |   0.1922   0.1922   1.9528   4.1589   0.2352 |   0.2508   0.2508   5.4241   4.1589   0.2670
124/140 3.00e-05   2:57:19 |   0.2290   0.2290   1.9573   4.1589   0.2366 |   0.2297   0.2297   5.5885   4.1589   0.2640
125/140 3.00e-05   2:46:09 |   0.1641   0.1641   2.0372   4.1589   0.2353 |   0.2012   0.2012   5.8646   4.1589   0.2697
126/140 3.00e-05   2:35:01 |   0.2001   0.2001   2.5651   4.1589   0.2369 |   0.2388   0.2388   5.4406   4.1589   0.2611
127/140 3.00e-05   2:23:53 |   0.2078   0.2078   1.9858   4.1589   0.2308 |   0.1895   0.1895   5.8102   4.1589   0.2689
