Experiment id: 13C_finetune_commutative_cnn_20260701_050638
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/13C/runs/13C_finetune_commutative_cnn_20260701_050638
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055/10C_pretrain_commutative_cnn_20260629_100055_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/13C/runs/13C_finetune_commutative_cnn_20260701_050638/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
050/120 8.00e-06   5:35:02 |   2.4412   1.1142   0.6070   2.1065   2.0649   1.0650 |   2.5289   1.0905   0.7087   2.5788   2.1860   1.1479
051/120 8.00e-06   5:30:07 |   2.4540   1.1192   0.6061   2.1412   2.0769   1.0650 |   2.5208   1.0858   0.7098   2.5503   2.1798   1.1477
052/120 8.00e-06   5:25:14 |   2.4344   1.1099   0.6076   2.2045   2.0598   1.0648 |   2.5150   1.0828   0.7095   2.5804   2.1750   1.1474
053/120 8.00e-06   5:20:19 |   2.4211   1.0950   0.6071   2.1924   2.0555   1.0619 |   2.5315   1.0946   0.7108   2.6489   2.1858   1.1494
054/120 8.00e-06   5:15:27 |   2.4216   1.1029   0.6081   2.2166   2.0497   1.0626 |   2.5030   1.0758   0.7104   2.6012   2.1656   1.1464
055/120 8.00e-06   5:10:41 |   2.4351   1.1140   0.6066   2.2404   2.0575   1.0633 |   2.5165   1.0861   0.7118   2.6439   2.1740   1.1484
056/120 8.00e-06   5:06:02 |   2.4219   1.1052   0.6077   2.3093   2.0481   1.0629 |   2.5036   1.0778   0.7107   2.6356   2.1649   1.1463
057/120 8.00e-06   5:01:26 |   2.4197   1.1073   0.6081   2.2220   2.0435   1.0663 |   2.5221   1.0912   0.7117   2.6986   2.1768   1.1496
058/120 8.00e-06   4:56:34 |   2.4055   1.0957   0.6092   2.3063   2.0353   1.0638 |   2.5041   1.0792   0.7115   2.6787   2.1644   1.1466
059/120 8.00e-06   4:51:44 |   2.3974   1.0908   0.6062   2.3060   2.0292   1.0646 |   2.5076   1.0817   0.7116   2.6790   2.1665   1.1478
060/120 8.00e-06   4:46:55 |   2.3948   1.0908   0.6087   2.2774   2.0258   1.0652 |   2.5059   1.0820   0.7127   2.7084   2.1641   1.1487
061/120 8.00e-06   4:42:05 |   2.3969   1.0923   0.6063   2.3286   2.0274   1.0635 |   2.5225   1.0937   0.7127   2.7750   2.1753   1.1490
062/120 8.00e-06   4:37:20 |   2.3847   1.0860   0.6067   2.3204   2.0172   1.0628 |   2.5275   1.0983   0.7135   2.7956   2.1777   1.1502
063/120 8.00e-06   4:32:29 |   2.3681   1.0727   0.6029   2.3534   2.0076   1.0601 |   2.4920   1.0746   0.7119   2.7320   2.1530   1.1464
064/120 4.00e-06   4:27:39 |   2.3948   1.0957   0.6064   2.3943   2.0219   1.0644 |   2.5272   1.0986   0.7151   2.8487   2.1769   1.1524
065/120 4.00e-06   4:22:52 |   2.3884   1.0905   0.6043   2.3844   2.0185   1.0606 |   2.4939   1.0757   0.7126   2.7746   2.1543   1.1475
066/120 4.00e-06   4:18:03 |   2.3725   1.0805   0.6041   2.3743   2.0067   1.0615 |   2.5079   1.0854   0.7144   2.8187   2.1637   1.1503
067/120 4.00e-06   4:13:14 |   2.3631   1.0788   0.6086   2.3674   1.9962   1.0622 |   2.5235   1.0949   0.7154   2.8536   2.1753   1.1527
068/120 4.00e-06   4:11:46 |   2.3671   1.0772   0.6063   2.4281   2.0024   1.0626 |   2.5050   1.0832   0.7145   2.8101   2.1619   1.1499
069/120 4.00e-06   4:07:09 |   2.3733   1.0847   0.6080   2.3413   2.0042   1.0612 |   2.4927   1.0753   0.7131   2.8025   2.1530   1.1479
070/120 4.00e-06   4:02:57 |   2.3756   1.0862   0.6077   2.4041   2.0058   1.0621 |   2.5112   1.0877   0.7151   2.8319   2.1658   1.1510
071/120 4.00e-06   3:59:56 |   2.3723   1.0810   0.6065   2.4191   2.0059   1.0617 |   2.5195   1.0940   0.7159   2.8914   2.1710   1.1520
072/120 4.00e-06   3:55:29 |   2.3555   1.0741   0.6090   2.4914   1.9906   1.0590 |   2.5018   1.0815   0.7145   2.8399   2.1593   1.1493
073/120 2.00e-06   3:50:49 |   2.3693   1.0814   0.6068   2.4334   2.0019   1.0591 |   2.5062   1.0845   0.7151   2.8563   2.1622   1.1501
074/120 2.00e-06   3:46:26 |   2.3553   1.0701   0.6051   2.4426   1.9937   1.0604 |   2.5066   1.0849   0.7154   2.8790   2.1624   1.1507
075/120 2.00e-06   3:41:59 |   2.3569   1.0741   0.6064   2.4339   1.9923   1.0616 |   2.5093   1.0871   0.7159   2.8874   2.1639   1.1512
076/120 2.00e-06   3:37:39 |   2.3694   1.0858   0.6028   2.4571   1.9986   1.0595 |   2.5057   1.0845   0.7157   2.8793   2.1615   1.1508
077/120 1.00e-06   3:33:29 |   2.3628   1.0770   0.6066   2.4757   1.9974   1.0610 |   2.5107   1.0882   0.7163   2.8914   2.1647   1.1517
078/120 1.00e-06   3:39:06 |   2.3562   1.0687   0.6071   2.4611   1.9960   1.0584 |   2.5110   1.0887   0.7163   2.9034   2.1647   1.1515
079/120 1.00e-06   3:39:24 |   2.3476   1.0661   0.6068   2.4654   1.9873   1.0581 |   2.5177   1.0930   0.7168   2.9216   2.1696   1.1524
080/120 1.00e-06   3:34:57 |   2.3580   1.0731   0.6038   2.4182   1.9948   1.0590 |   2.5142   1.0906   0.7167   2.9131   2.1672   1.1522
081/120 1.00e-06   3:29:34 |   2.3503   1.0730   0.6052   2.5002   1.9852   1.0593 |   2.5068   1.0859   0.7162   2.8998   2.1618   1.1511
082/120 1.00e-06   3:24:12 |   2.3570   1.0741   0.6078   2.4952   1.9925   1.0599 |   2.5085   1.0869   0.7164   2.9056   2.1630   1.1512
083/120 1.00e-06   3:18:46 |   2.3414   1.0649   0.6057   2.4702   1.9805   1.0598 |   2.5120   1.0895   0.7166   2.9162   2.1653   1.1517
early_stop epoch=083 best_epoch=069 best_metric=2.1619
13C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/13C/runs/13C_finetune_commutative_cnn_20260701_050638
