compound,compound_class,mechanism_of_action,image_run_dir,image_run_dir_relative,source_batch,dir_name,folder_status
Pentylenetetrazole,Analeptics,GABAAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/PTZ ReRun 2 5 Feb 2019,FOURTH BATCH 2018/PTZ ReRun 2 5 Feb 2019,FOURTH BATCH 2018,PTZ ReRun 2 5 Feb 2019,active
Phenserine,ACh esterase inhibitors,Reversible AChE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Phenserine Run 1 9 July 2018 not processed yet,FOURTH BATCH 2018/Phenserine Run 1 9 July 2018 not processed yet,FOURTH BATCH 2018,Phenserine Run 1 9 July 2018 not processed yet,active
Phenserine,ACh esterase inhibitors,Reversible AChE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Phenserine Run 2 13 July 2018 not processed yet,FOURTH BATCH 2018/Phenserine Run 2 13 July 2018 not processed yet,FOURTH BATCH 2018,Phenserine Run 2 13 July 2018 not processed yet,active
Phenyclidine,Illicit drugs,NMDAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Phencyclidine Run 1 24 Sept 2018,FOURTH BATCH 2018/Phencyclidine Run 1 24 Sept 2018,FOURTH BATCH 2018,Phencyclidine Run 1 24 Sept 2018,active
Phenyclidine,Illicit drugs,NMDAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Phencyclidine Run 2 25 Sept 2018,FOURTH BATCH 2018/Phencyclidine Run 2 25 Sept 2018,FOURTH BATCH 2018,Phencyclidine Run 2 25 Sept 2018,active
Physostigmine,ACh esterase inhibitors,Reversible AChE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Physostigmine Salicylate 17 April 2018,FOURTH BATCH 2018/Physostigmine Salicylate 17 April 2018,FOURTH BATCH 2018,Physostigmine Salicylate 17 April 2018,active
Physostigmine,ACh esterase inhibitors,Reversible AChE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Physostigmine salicylate Run 2 20 April 2018,FOURTH BATCH 2018/Physostigmine salicylate Run 2 20 April 2018,FOURTH BATCH 2018,Physostigmine salicylate Run 2 20 April 2018,active
Picrotoxin,Analeptics,GABAAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin 9 may 2017,THIRD BATCH convulsants/Picrotoxin 9 may 2017,THIRD BATCH convulsants,Picrotoxin 9 may 2017,active
Picrotoxin,Analeptics,GABAAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin run 2 19 May 2017,THIRD BATCH convulsants/Picrotoxin run 2 19 May 2017,THIRD BATCH convulsants,Picrotoxin run 2 19 May 2017,active
Picrotoxin,Analeptics,GABAAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin run 3 22 may 2017 (after realignment) DONT USE,THIRD BATCH convulsants/Picrotoxin run 3 22 may 2017 (after realignment) DONT USE,THIRD BATCH convulsants,Picrotoxin run 3 22 may 2017 (after realignment) DONT USE,do_not_use
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_0.4OD,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_0.4OD,FIRST BATCH convulsants,Pilocarpine_0.4OD,active
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_Round2_0.4OD,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_Round2_0.4OD,FIRST BATCH convulsants,Pilocarpine_Round2_0.4OD,active
