Experiment id: 10C_pretrain_commutative_cnn_20260701_130752
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752/10C_pretrain_commutative_cnn_20260701_130752_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
132/140 3.00e-05   1:25:18 |   0.2265   0.2265   3.0371   4.1589   0.2051 |   0.2041   0.2041   5.5129   4.1589   0.2360
133/140 3.00e-05   1:14:34 |   0.1559   0.1559   2.2515   4.1589   0.2000 |   0.1901   0.1901   5.6155   4.1589   0.2407
134/140 1.50e-05   1:03:52 |   0.2274   0.2274   1.9459   4.1589   0.1975 |   0.1718   0.1718   5.7714   4.1589   0.2348
135/140 1.50e-05     53:10 |   0.1511   0.1511   2.1408   4.1589   0.1950 |   0.1627   0.1627   5.8200   4.1589   0.2376
136/140 1.50e-05     42:30 |   0.1771   0.1771   2.2211   4.1589   0.1958 |   0.1598   0.1598   5.8487   4.1589   0.2364
137/140 1.50e-05     31:52 |   0.1541   0.1541   2.5646   4.1589   0.1987 |   0.1607   0.1607   5.8013   4.1589   0.2354
138/140 1.50e-05     22:04 |   0.1466   0.1466   2.7903   4.1589   0.1992 |   0.1807   0.1807   5.5969   4.1589   0.2348
139/140 1.50e-05     11:10 |   0.1434   0.1434   2.2701   4.1589   0.1953 |   0.1950   0.1950   5.5051   4.1589   0.2326
140/140 1.50e-05     00:00 |   0.1782   0.1782   1.9922   4.1589   0.1939 |   0.1753   0.1753   5.6309   4.1589   0.2326
Updated latest commutative CNN pretraining config at /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/config.yaml
10C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752
